timestamp,visual pose reference
17500,"[[      185.3      221.32]
 [     191.47      218.44]
 [        170      222.09]
 [          0           0]
 [     154.13      251.83]
 [     213.42      268.03]
 [     169.71       269.8]
 [     224.35      271.48]
 [     197.83      264.97]
 [     244.65      271.33]
 [     245.33      271.35]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
18000,[]
18500,"[[     185.32       222.3]
 [      192.5       219.7]
 [     169.82      221.37]
 [     205.41       240.2]
 [     151.69      247.82]
 [      209.9      267.74]
 [     166.46      266.38]
 [     229.61      273.99]
 [     204.11         264]
 [      253.8      272.48]
 [     252.89       276.6]
 [          0           0]
 [     167.54      305.43]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
19000,"[[     397.41      90.111]
 [          0           0]
 [     396.44      87.127]
 [          0           0]
 [          0           0]
 [     403.01      95.746]
 [     384.03      96.562]
 [     411.78      99.276]
 [     376.08      110.92]
 [     417.73      103.54]
 [     374.33      134.07]
 [     400.18      127.93]
 [     388.07      128.73]
 [      402.4      149.52]
 [      391.2      150.39]
 [      403.5      171.06]
 [     392.57      172.51]]"
19500,"[[     180.86      227.29]
 [     189.84      221.73]
 [     169.36      224.84]
 [     206.95      237.49]
 [          0           0]
 [     217.28      267.11]
 [     158.14      265.03]
 [     231.91      270.15]
 [     134.49      250.62]
 [     244.42      273.01]
 [     136.83      237.34]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
20000,"[[     182.93      228.14]
 [     190.91      223.09]
 [     172.29       225.7]
 [     205.59      237.51]
 [          0           0]
 [     214.64      265.49]
 [     159.63      261.51]
 [     230.12      269.44]
 [     133.64      244.84]
 [     245.08      273.83]
 [     138.47      234.87]
 [          0           0]
 [     176.62      281.28]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
20500,"[[     182.62      225.15]
 [     189.53      219.97]
 [     172.41         223]
 [     202.58      232.26]
 [          0           0]
 [     211.31      260.39]
 [     158.53      256.39]
 [     226.37      268.48]
 [     129.49      242.36]
 [     244.14      273.28]
 [     132.65      234.09]
 [     211.56      278.79]
 [     177.29      279.33]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
21000,"[[     181.99      224.23]
 [     188.76         220]
 [     172.93      222.51]
 [     201.06         231]
 [          0           0]
 [     206.51      255.67]
 [     160.38      252.95]
 [     220.12      266.97]
 [     136.12      245.59]
 [     243.73      273.25]
 [     124.82       239.3]
 [      205.9      269.09]
 [     177.78      269.32]
 [     207.89      247.94]
 [     179.18      250.51]
 [          0           0]
 [          0           0]]"
21500,[]
22000,"[[      180.8      223.07]
 [     191.69      219.89]
 [     168.75         221]
 [     210.58      241.39]
 [     155.49      245.29]
 [     218.37      270.35]
 [     156.53      265.84]
 [     227.66      273.31]
 [     138.73       252.2]
 [     245.89      275.16]
 [     136.52      236.82]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
22500,"[[      180.8      223.07]
 [     191.86      219.91]
 [     168.54      220.94]
 [     211.05      242.02]
 [     155.02      245.82]
 [     218.86      271.85]
 [     156.25      267.08]
 [     227.38       274.3]
 [      139.8      252.84]
 [      245.5      275.32]
 [     138.58      236.68]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
23000,"[[     182.16      222.55]
 [     191.19      220.05]
 [     170.22      221.21]
 [     208.32      241.56]
 [     156.79      245.78]
 [     213.47      268.25]
 [     162.51      265.46]
 [     222.37      270.55]
 [     171.21      261.88]
 [     247.08      271.66]
 [     225.41       257.1]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
23500,"[[     181.44      223.19]
 [     188.91      220.01]
 [     171.39      222.01]
 [     203.46      235.62]
 [          0           0]
 [     205.74      259.68]
 [     164.91      259.49]
 [     215.47      264.22]
 [     176.75      258.91]
 [     246.01      271.33]
 [     227.78      260.47]
 [      203.8      275.51]
 [     176.78      276.83]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
24000,"[[     181.52      223.91]
 [      188.9      220.51]
 [     172.04      222.48]
 [     202.11      233.73]
 [          0           0]
 [     204.93      256.73]
 [     162.57      256.43]
 [     218.02      263.12]
 [     161.71         253]
 [     246.47      271.69]
 [     187.29      247.17]
 [     205.95      266.77]
 [     180.03      268.14]
 [          0           0]
 [      181.1      253.87]
 [          0           0]
 [          0           0]]"
24500,"[[     181.04      223.88]
 [      188.9      220.65]
 [     171.42      222.19]
 [     202.48      234.77]
 [          0           0]
 [     205.34      258.16]
 [     161.21      257.04]
 [     218.41      264.22]
 [     159.47      252.78]
 [     246.25      273.26]
 [     182.78      245.33]
 [     204.64      270.91]
 [     177.41       271.8]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
25000,"[[     180.31      223.73]
 [     188.81      220.62]
 [     170.52      221.94]
 [     203.38      235.98]
 [      158.3      240.01]
 [     207.24      259.53]
 [     160.51      258.29]
 [     220.96      264.46]
 [     157.65      252.43]
 [     247.16      273.46]
 [     175.09      243.04]
 [     205.02      272.53]
 [     175.79      273.08]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
25500,[]
26000,[]
26500,"[[      183.2      222.28]
 [     193.46      220.75]
 [     172.08      219.17]
 [     209.05      241.84]
 [     157.93      240.22]
 [     210.65      268.42]
 [     159.06      260.65]
 [     221.65      270.84]
 [     165.28      255.21]
 [     249.62      275.28]
 [     204.21       246.2]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
27000,"[[     181.59       222.3]
 [     192.33      220.37]
 [     170.02      219.74]
 [     209.63      242.48]
 [     156.23      242.81]
 [     213.83      270.15]
 [     156.58      263.53]
 [     224.72      271.24]
 [     155.29      254.24]
 [      249.1      274.91]
 [     182.45      241.97]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
27500,"[[     181.14      225.19]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [        207      232.51]
 [      158.7      237.92]
 [     226.84      254.77]
 [     143.39      256.31]
 [      228.7      267.58]
 [     149.11      263.81]
 [     213.41      261.69]
 [     181.56         266]
 [     229.27      242.64]
 [     187.69      248.86]
 [     238.14      260.03]
 [     201.48      272.83]]"
28000,"[[     181.27      225.11]
 [          0           0]
 [     174.54       222.2]
 [          0           0]
 [          0           0]
 [     207.17      232.52]
 [     158.55      238.14]
 [     227.31      254.58]
 [     143.44      256.69]
 [      229.1      267.39]
 [     148.31      264.07]
 [     213.61      262.39]
 [     181.47      266.76]
 [        230      242.77]
 [     187.67      248.96]
 [     238.44      260.27]
 [     200.88      272.69]]"
28500,"[[     181.27      225.06]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [     207.05      232.08]
 [     158.57      237.76]
 [     227.13      254.38]
 [     143.23      256.67]
 [     228.99      267.26]
 [     147.93      264.21]
 [     213.47      262.35]
 [      181.4      266.75]
 [     229.99      242.39]
 [     187.31      248.63]
 [     238.58      260.62]
 [     200.59      273.04]]"
29000,"[[     181.27      225.08]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [     207.09      232.29]
 [     158.63      237.89]
 [     226.97      254.42]
 [      143.2      256.57]
 [      229.1      267.33]
 [     147.96      264.21]
 [     213.64      262.71]
 [      181.6      267.11]
 [     230.38      242.17]
 [      187.8      248.42]
 [     238.67       260.4]
 [     200.86      272.89]]"
29500,[]
30000,"[[     184.73      222.33]
 [      192.4      219.48]
 [     169.28      222.07]
 [     208.45       241.9]
 [     152.64      251.41]
 [     218.07      272.83]
 [      161.5      272.39]
 [     229.81      273.03]
 [      177.8      261.62]
 [     248.91      272.13]
 [     218.13      256.55]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
30500,"[[     182.39      223.91]
 [     191.51      220.99]
 [     169.59      221.76]
 [     205.69      239.54]
 [     154.42      243.36]
 [     210.91      270.01]
 [     157.89      260.87]
 [     223.41      275.73]
 [     137.03      241.63]
 [     253.09      276.82]
 [     126.16      240.56]
 [     198.16      312.44]
 [     162.87      309.15]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
